,Place,Latitude,Longitude,geometry,index_right,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_AREA,SHAPE_LEN
0,Newbury Trader Joe,42.348321,-71.084,POINT (-71.084 42.348321),929,25,025,010701,25025010701,107.01,Census Tract 107.01,G5020,202317.0,0.0,+42.3497223,-071.0838808,2177562.16,49.9899,2478,1599,0174950,147940,0003870,0147940,202302.951944,2102.49611695
1,Boston theater district,42.354087,-71.063224,POINT (-71.06322400000001 42.354087),1090,25,025,070101,25025070101,701.01,Census Tract 701.01,G5020,1019135.0,89007.0,+42.3524416,-071.0575175,10969123.93,251.8164,5902,3383,0175109,148099,0003912,0148099,1019069.03118,5204.65115015
2,Faneuil Hall,42.360129,-71.0549386,POINT (-71.0549386 42.360129),915,25,025,030300,25025030300,303,Census Tract 303,G5020,691377.0,234496.0,+42.3600562,-071.0532861,7441425.2,170.8316,4872,2960,0174989,147979,0003881,0147979,691333.792323,6659.99578795
